row_index,in_roi,roi_width_px,x_scale_m_per_px,y_scale_m_per_px
0,1,250,0.00843386,0.05691873
1,1,417,0.00901033,0.05955274
2,1,501,0.00930899,0.06085791
3,1,503,0.00927296,0.06058224
4,1,506,0.00924145,0.06032774
5,1,507,0.00921000,0.06007418
6,1,509,0.00917483,0.05980423
7,1,510,0.00914364,0.05955354
8,1,512,0.00910918,0.05928646
9,1,515,0.00907867,0.05903958
10,1,516,0.00904826,0.05879366
11,1,518,0.00901465,0.05853229
12,1,520,0.00898065,0.05827187
13,1,521,0.00895154,0.05803167
14,1,524,0.00892156,0.05779148
15,1,526,0.00888888,0.05753678
16,1,527,0.00886006,0.05730040
17,1,529,0.00882760,0.05704856
18,1,531,0.00879527,0.05679769
19,1,533,0.00877095,0.05658342
20,1,535,0.00873932,0.05633540
21,1,536,0.00871146,0.05610665
22,1,538,0.00868000,0.05586244
23,1,540,0.00864917,0.05562015
24,1,542,0.00862529,0.05541160
25,1,544,0.00859463,0.05517121
26,1,546,0.00856410,0.05493369
27,1,547,0.00853777,0.05471256
28,1,550,0.00851104,0.05449333
29,1,552,0.00848126,0.05425962
30,1,553,0.00845519,0.05404326
31,1,555,0.00842564,0.05381146
32,1,556,0.00840068,0.05359796
33,1,559,0.00837489,0.05338541
34,1,561,0.00834562,0.05315742
35,1,562,0.00832091,0.05294773
36,1,564,0.00829277,0.05272356
37,1,566,0.00826471,0.05250129
38,1,568,0.00824288,0.05230991
39,1,570,0.00821501,0.05208955
40,1,572,0.00818770,0.05187014
41,1,573,0.00816395,0.05166808
42,1,575,0.00813682,0.05145248
43,1,578,0.00811280,0.05125234
44,1,579,0.00808931,0.05105218
45,1,581,0.00806246,0.05084040
46,1,582,0.00803912,0.05064311
47,1,584,0.00801334,0.05043420
48,1,587,0.00799018,0.05023977
49,1,588,0.00796751,0.05004629
50,1,590,0.00794156,0.04984024
51,1,592,0.00791613,0.04963513
52,1,594,0.00789707,0.04945901
53,1,596,0.00787138,0.04925581
54,1,598,0.00784665,0.04905452
55,1,599,0.00782488,0.04886867
56,1,601,0.00779991,0.04866929
57,1,604,0.00777872,0.04848535
58,1,605,0.00775719,0.04830141
59,1,607,0.00773288,0.04810584
60,1,608,0.00771192,0.04792477
61,1,610,0.00768779,0.04773111
62,1,613,0.00766698,0.04755193
63,1,614,0.00764665,0.04737372
64,1,616,0.00762315,0.04718387
65,1,618,0.00759977,0.04699498
66,1,619,0.00757927,0.04681962
67,1,622,0.00755963,0.04664522
68,1,624,0.00753688,0.04646014
69,1,625,0.00751698,0.04628764
70,1,627,0.00749439,0.04610447
71,1,628,0.00747466,0.04593388
72,1,631,0.00745498,0.04576425
73,1,633,0.00743302,0.04558393
74,1,634,0.00741386,0.04541621
75,1,636,0.00739206,0.04523780
76,1,638,0.00737034,0.04506131
77,1,640,0.00735451,0.04490807
78,1,642,0.00733255,0.04473157
